Starting global crib with output settings...
shiftsum | shiftdifferencessum | cribword | shiftlist | shiftdifferences | shiftlistfacts | shiftsinwordform | shiftsingpform
ioo(12) 70 | 17 | seek | [8, 20, 19, 23] | [12, 1, 4] | [ad, dad] | HLMD | JIOWH 
ioo(13) 43 | 26 | seek | [14, 20, 9, 0] | [6, 11, 9] | [ad, dad] | XLNF | (PAE)IOEN 
ioo(14) 64 | 38 | seek | [27, 17, 3, 17] | [10, 14, 14] | [is_odd, hr, diffs_incremental, diffs_is_even, dhr] | IOBOB | ?IO?G(UB)G 
Results for branch13.txt
ioo(0) 49 | 44 | seek | [23, 7, 18, 1] | [16, 11, 17] | [ad, dad] | DWEU | HOXT 
ioo(1) 57 | 34 | seek | [28, 14, 3, 12] | [14, 11, 9] | [ad, diffs_decremental, dad] | EAXOEO | ?EA?(PAE)(UB)EO 
ioo(2) 53 | 42 | seek | [3, 27, 14, 9] | [24, 13, 5] | [ad, diffs_decremental, dad] | OIOXN | (UB)?IO?(PAE)E 
ioo(3) 32 | 22 | seek | [11, 1, 11, 9] | [10, 10, 2] | [is_odd, hr, diffs_decremental, diffs_is_even, dhr] | JUJN | RTRE 
ioo(4) 27 | 10 | seek | [11, 9, 6, 1] | [2, 3, 5] | [decremental, ad, diffs_incremental, dad, diffs_all_prime] | JNGU | RE?G?T 
ioo(5) 73 | 28 | seek | [16, 20, 11, 26] | [4, 9, 15] | [ad, diffs_incremental, dad] | TLJY | YIOR?Y? 
ioo(6) 79 | 12 | seek | [17, 24, 19, 19] | [7, 5, 0] | [hr, diffs_decremental, dad, diffs_all_prime] | BAMM | GSWW 
ioo(7) 63 | 46 | seek | [12, 25, 6, 20] | [13, 19, 14] | [ad, dad] | EOAEGL | EOOE?G?IO 
ioo(8) 59 | 27 | seek | [0, 9, 23, 27] | [9, 14, 4] | [incremental, ad, dad] | FNDIO | NEH?IO? 
ioo(9) 75 | 50 | seek | [16, 25, 6, 28] | [9, 19, 22] | [ad, diffs_incremental, dad] | TAEGEA | YOE?G??EA? 
ioo(10) 60 | 23 | seek | [8, 18, 13, 21] | [10, 5, 8] | [ad, dad] | HEPING | JX(CM)ING 
ioo(11) 66 | 32 | seek | [26, 16, 6, 18] | [10, 10, 12] | [is_even, ad, diffs_incremental, diffs_is_even, dhr] | YTGE | ?Y?Y?G?X 
ioo(12) 62 | 36 | seek | [13, 12, 28, 9] | [1, 16, 19] | [ad, diffs_incremental, dad] | PEOEAN | (CM)EO?EA?E 
ioo(13) 57 | 27 | seek | [12, 21, 9, 15] | [9, 12, 6] | [ad, dad] | EOINGNS | EOINGEL 
ioo(14) 77 | 24 | seek | [20, 26, 13, 18] | [6, 13, 5] | [ad, dad] | LYPE | IO?Y?(CM)X 
ioo(15) 63 | 13 | seek | [14, 12, 14, 23] | [2, 2, 9] | [hr, diffs_incremental, dhr] | XEOXD | (PAE)EO(PAE)H 
ioo(16) 50 | 42 | seek | [5, 26, 8, 11] | [21, 18, 3] | [ad, diffs_decremental, dad] | CYHJ | TH?Y?JR 
ioo(17) 56 | 46 | seek | [0, 24, 26, 6] | [24, 2, 20] | [is_even, ad, diffs_is_even, dad] | FAYG | NS?Y??G? 
Results for branch14.txt
ioo(0) 48 | 28 | seek | [14, 14, 2, 18] | [0, 12, 16] | [is_even, hr, diffs_incremental, diffs_is_even, dad] | XXTHE | (PAE)(PAE)(FID)X 
